experiment,condition,subject,block,p,nll,bic,model
1,new_learn,2,0,0.7498808571176407,69.31471805599453,138.6294361119891,nll_rand_guess
1,new_learn,2,0,0.4513902215736816,68.81427167441402,142.23371353481613,nll_bias_guess
1,new_learn,2,0,43.09790979944674,97.03445305353456,203.27924647904527,nll_unix_0
1,new_learn,2,0,36.90350871607435,97.03445305353456,203.27924647904527,nll_unix_0
1,new_learn,2,0,54.348534700830974,69.05322819006147,147.31679675209912,nll_unix_1
1,new_learn,2,0,36.903729305577585,69.05322819006147,147.31679675209912,nll_unix_1
1,new_learn,2,0,43.78513876787734,71.89720415189026,153.0047486757567,nll_uniy_0
1,new_learn,2,0,36.90182591635724,71.89720415189026,153.0047486757567,nll_uniy_0
1,new_learn,2,0,54.539932428332385,96.8872608507204,202.98486207341696,nll_uniy_1
1,new_learn,2,0,36.90357308647177,96.8872608507204,202.98486207341696,nll_uniy_1
1,new_learn,2,0,-0.7482841040796879,59.98040022910294,133.77631101617015,nll_glc_0
1,new_learn,2,0,8.565114134504526,59.98040022910294,133.77631101617015,nll_glc_0
1,new_learn,2,0,36.36576280546995,59.98040022910294,133.77631101617015,nll_glc_0
1,new_learn,2,0,0.999999897332012,69.06679236468872,151.94909528734172,nll_glc_1
1,new_learn,2,0,-54.43866215286143,69.06679236468872,151.94909528734172,nll_glc_1
1,new_learn,2,0,36.89532224478154,69.06679236468872,151.94909528734172,nll_glc_1
1,new_learn,2,0,49.56736238601778,73.62579117921811,161.0670929164005,nll_gcc_eq_0
1,new_learn,2,0,0.0002654328877866,73.62579117921811,161.0670929164005,nll_gcc_eq_0
1,new_learn,2,0,36.90218240159027,73.62579117921811,161.0670929164005,nll_gcc_eq_0
1,new_learn,2,0,72.76072030607747,88.10310720424286,190.02172496645,nll_gcc_eq_1
1,new_learn,2,0,28.05441867040096,88.10310720424286,190.02172496645,nll_gcc_eq_1
1,new_learn,2,0,36.895605296953505,88.10310720424286,190.02172496645,nll_gcc_eq_1
1,new_learn,2,0,31.35667842088231,57.61539471375494,129.04629998547415,nll_gcc_eq_2
1,new_learn,2,0,70.51131239454338,57.61539471375494,129.04629998547415,nll_gcc_eq_2
1,new_learn,2,0,26.658826027637257,57.61539471375494,129.04629998547415,nll_gcc_eq_2
1,new_learn,2,0,99.92589576330415,75.92563136439301,165.6667732867503,nll_gcc_eq_3
1,new_learn,2,0,47.957787368952225,75.92563136439301,165.6667732867503,nll_gcc_eq_3
1,new_learn,2,0,36.8964935500631,75.92563136439301,165.6667732867503,nll_gcc_eq_3
1,new_learn,4,2,0.7024281173939859,68.62157087543459,137.24314175086917,nll_rand_guess
1,new_learn,4,2,0.7274075441133772,58.00931374892954,120.62379768384716,nll_bias_guess
1,new_learn,4,2,73.61528134991103,88.4680288806262,186.1463981332286,nll_unix_0
1,new_learn,4,2,36.65562111748259,88.4680288806262,186.1463981332286,nll_unix_0
1,new_learn,4,2,25.20419957779165,50.13120326761026,109.47274690719672,nll_unix_1
1,new_learn,4,2,36.57665043607478,50.13120326761026,109.47274690719672,nll_unix_1
1,new_learn,4,2,75.40872080784146,52.88168233075554,114.97370503348726,nll_uniy_0
1,new_learn,4,2,36.65481936781157,52.88168233075554,114.97370503348726,nll_uniy_0
1,new_learn,4,2,27.68554871316689,88.22380426389194,185.65794889976004,nll_uniy_1
1,new_learn,4,2,36.65547080869902,88.22380426389194,185.65794889976004,nll_uniy_1
1,new_learn,4,2,-0.7746076021081365,37.84412032839217,89.50375121474862,nll_glc_0
1,new_learn,4,2,-9.662835705757946,37.84412032839217,89.50375121474862,nll_glc_0
1,new_learn,4,2,19.740397579105245,37.84412032839217,89.50375121474862,nll_glc_0
1,new_learn,4,2,0.999999997638271,50.13477868241763,114.08506792279954,nll_glc_1
1,new_learn,4,2,-25.460156211307865,50.13477868241763,114.08506792279954,nll_glc_1
1,new_learn,4,2,36.49050076761107,50.13477868241763,114.08506792279954,nll_glc_1
